FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,ecity_nam,x,y
356,2ef900de-3adb-48f5-b8ac-2a35831ea13d,5075,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ngwogwo,EBSSKA13,Ivo,11009,Ebonyi,EB,GRID,Amaegbe Amaokwe Community Transformer,7.56899166743153,5.95449333300098
357,34bb4b1d-cc77-492c-bffb-d988239b1804,5074,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ngwogwo,EBSSKA13,Ivo,11009,Ebonyi,EB,GRID,Ihuogwu Amaokwe Transformer,7.56605333319482,5.9549400001809
358,ba2dafa9-9fe1-4627-a057-e9d20affe279,5072,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Agbaja,EBSAKL02,Abakaliki,11001,Ebonyi,EB,GRID,Joseph Nwoba Street Light Transformer 1,8.11342000023285,6.31085999998908
359,20d7f6a9-8576-40d0-996f-031470240e2a,5071,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Izzi Unuhu,EBSAKL15,Abakaliki,11001,Ebonyi,EB,GRID,Okwase Transformer 2,8.08792666728192,6.29222000015295
360,0b4f250a-1ca5-4338-835c-4293521a0f01,5070,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Izzi Unuhu,EBSAKL15,Abakaliki,11001,Ebonyi,EB,GRID,Okwase Transformer 1,8.08876666734784,6.29623166715777
361,9039bf4a-8e17-4266-a19d-be304ac91073,5069,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Timber Shade,EBSAKL20,Abakaliki,11001,Ebonyi,EB,GRID,House Of Assembly Power Plant,8.09016666715803,6.29963166656819
362,19e09d6a-208c-4b50-9bf7-e2c8f60f259c,5068,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echiaba,EBSUGB05,Ebonyi,11004,Ebonyi,EB,GRID,Ugwuachara Mile 50 Transformer,8.0797349999703,6.3516366995741
363,c94a11cf-a6b4-40b9-928b-b1be417a40da,5067,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echiaba,EBSUGB05,Ebonyi,11004,Ebonyi,EB,GRID,Ntezi Aba Mile 50 Transformer,8.0801949995996,6.3507866999463
364,17a717f7-5a47-4551-bad1-2de8f5deeba7,5066,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abina,EBSCHR01,Ikwo,11007,Ebonyi,EB,GRID,Edukwu Abina Powersource,8.11906499974998,6.02742500006377
365,7bb8a764-280b-45ca-aafb-a3de1b16559a,5065,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abina,EBSCHR01,Ikwo,11007,Ebonyi,EB,GRID,Ngangbo Nchi Transformer Obegu,8.12068499981297,6.03764666656048
366,1ecf76c3-f225-40f0-88d0-dd77dc45555d,5064,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Amonye / Ihietutu,EBSSKA05,Ivo,11009,Ebonyi,EB,GRID,Obulor Transformer,7.55408666716602,5.95238500016768
